feature,reference_missing_rate,later_missing_rate,absolute_missing_rate_change,absolute_standardised_mean_shift,ks_statistic,ks_pvalue_unadjusted
sensor_116,0.0,0.0,0.0,0.02036521800408653,0.6643113851596931,6.115282269275852e-107
sensor_109,0.7757382282521947,0.1464968152866242,0.6292414129655706,1.250620240152463,0.6555346045572847,2.623262202688355e-56
sensor_132,0.0039904229848363925,0.009554140127388535,0.005563717142552142,1.0800936768391556,0.5566539904361447,3.9301826205480075e-72
sensor_542,0.0,0.006369426751592357,0.006369426751592357,0.7455997172621415,0.5218501238054312,4.898452050520873e-63
sensor_111,0.7757382282521947,0.1464968152866242,0.6292414129655706,1.9189397164853876,0.508671057523769,6.850383495146286e-33
sensor_543,0.0,0.006369426751592357,0.006369426751592357,0.6453146825034546,0.49951654490760644,1.644158703749247e-57
sensor_545,0.0,0.006369426751592357,0.006369426751592357,0.5866329045291605,0.46415781611312346,2.3941893579099554e-49
sensor_517,0.7757382282521947,0.1464968152866242,0.6292414129655706,1.6896130755477063,0.46212885749189986,5.2154268422975485e-27
sensor_548,0.20351157222665603,0.01592356687898089,0.18758800534767514,0.7790848951754094,0.459780402228405,1.02285877352092e-45
sensor_040,0.019154030327214685,0.0,0.019154030327214685,0.294416267037559,0.4590910739921121,2.5610206816803453e-48
sensor_383,0.7757382282521947,0.1464968152866242,0.6292414129655706,1.6294568473599154,0.45867636904445747,1.3555881708487214e-26
sensor_045,0.0007980845969672786,0.0,0.0007980845969672786,0.7472703281986799,0.45189861826173655,6.664764144593053e-47
sensor_058,0.0031923383878691143,0.0,0.0031923383878691143,0.8140252333845416,0.4493913602219356,2.2776933148291335e-46
sensor_245,0.7757382282521947,0.1464968152866242,0.6292414129655706,1.5638467868499473,0.44754873320231575,2.667040663706543e-25
sensor_046,0.0007980845969672786,0.0,0.0007980845969672786,0.823852702707347,0.43888504507437787,3.389999191772478e-44
sensor_072,0.4581005586592179,0.7006369426751592,0.2425363840159413,0.5389299491490941,0.4383636762447905,6.785414590875767e-15
sensor_544,0.0,0.006369426751592357,0.006369426751592357,0.43776393596649343,0.431308449464874,2.047961713628429e-42
sensor_066,0.004788507581803671,0.0,0.004788507581803671,0.7982773003530683,0.42704018306355634,9.4113491936665e-42
sensor_077,0.0,0.07643312101910828,0.07643312101910828,0.637446020687724,0.41929988716735006,8.605043877901861e-38
sensor_062,0.004788507581803671,0.0,0.004788507581803671,0.5978220349754544,0.4130882270314998,5.4641272810412525e-39
sensor_070,0.004788507581803671,0.0,0.004788507581803671,0.8306986581108393,0.4031663252953585,4.132198730262312e-37
sensor_110,0.7757382282521947,0.1464968152866242,0.6292414129655706,0.9016080052743457,0.39759388112816696,6.461047657340751e-20
sensor_318,0.0007980845969672786,0.0,0.0007980845969672786,0.5183816884930221,0.3941616979711442,1.77032322435279e-35
sensor_034,0.0007980845969672786,0.0,0.0007980845969672786,0.016219639619969285,0.39267617671598054,3.4615965777021173e-35
sensor_036,0.0007980845969672786,0.0,0.0007980845969672786,0.016215721765481337,0.39267617671598054,3.4615965777021173e-35
sensor_028,0.0015961691939345571,0.0,0.0015961691939345571,0.7895072342478122,0.3895966029723991,1.2395279865509469e-34
sensor_417,0.0,0.006369426751592357,0.006369426751592357,0.9326933766057249,0.38530603474737557,1.0167541765008701e-33
sensor_089,0.0,0.1624203821656051,0.1624203821656051,0.20591047490734313,0.37845292969876093,2.3499445009891922e-28
sensor_144,0.0,0.006369426751592357,0.006369426751592357,0.8437977453367004,0.35644709108396266,8.577214771970106e-29
sensor_067,0.004788507581803671,0.0,0.004788507581803671,0.047066415534939066,0.3562205343780488,7.316435678105924e-29
sensor_316,0.0007980845969672786,0.0,0.0007980845969672786,0.847455581758455,0.3536100201461101,1.8608582932919588e-28
sensor_022,0.0015961691939345571,0.0,0.0015961691939345571,0.5152605272724644,0.3531569648739608,2.1243961513635032e-28
sensor_038,0.0007980845969672786,0.0,0.0007980845969672786,0.5935335697556936,0.3523483445595328,2.967080831186495e-28
sensor_279,0.0,0.006369426751592357,0.006369426751592357,0.8357648543614359,0.34604641168886985,3.994950910428068e-27
sensor_056,0.0031923383878691143,0.0,0.0031923383878691143,1.0655243180898968,0.3448542273309093,4.8184699212592514e-27
sensor_078,0.0,0.07643312101910828,0.07643312101910828,0.41786313491024024,0.3422764675124529,4.848178161723859e-25
sensor_274,0.00558659217877095,0.022292993630573247,0.016706401451802296,0.6123448721649516,0.33804330208458594,1.603502351769002e-25
sensor_338,0.00558659217877095,0.0,0.00558659217877095,0.5268477628539396,0.337865884205253,6.043174330497853e-26
sensor_139,0.00558659217877095,0.022292993630573247,0.016706401451802296,0.6120806244702138,0.33771390926534944,1.7993339665561754e-25
sensor_041,0.019154030327214685,0.0,0.019154030327214685,0.233624234153891,0.33717278300933395,9.109443947992396e-26
sensor_304,0.0015961691939345571,0.0,0.0015961691939345571,0.7175541978919949,0.33662496754189,9.129331643479547e-26
sensor_247,0.33679169992019153,0.9331210191082803,0.5963293191880887,0.41558941576326835,0.336255801959773,0.014411771818647525
sensor_519,0.33679169992019153,0.9331210191082803,0.5963293191880887,0.3889729233576763,0.33505243252535666,0.014930287063466914
sensor_571,0.0,0.0,0.0,0.7150296900558366,0.3339806121359692,2.2679709398951332e-25
sensor_080,0.0,0.07643312101910828,0.07643312101910828,0.4131125835561476,0.32617717478052677,9.79856975143687e-23
sensor_319,0.0007980845969672786,0.0,0.0007980845969672786,0.7284537096591431,0.3244235974033903,6.210252218243294e-24
sensor_130,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.3279215783854453,0.32323492781389157,1.4499941013851913e-23
sensor_202,0.00558659217877095,0.0,0.00558659217877095,0.6089623516489968,0.32315383750293936,9.897935485724722e-24
sensor_292,0.9034317637669593,0.945859872611465,0.04242810884450565,0.2838049402506649,0.3228001944579485,0.06916038997690882
sensor_337,0.00558659217877095,0.0,0.00558659217877095,0.5046242964840026,0.32029628569383806,2.6017160348630656e-23
sensor_331,0.0031923383878691143,0.0,0.0031923383878691143,0.20829030471861718,0.3201950095107934,2.636727092634868e-23
sensor_353,0.0,0.07643312101910828,0.07643312101910828,0.6102850338920879,0.3193411674051243,8.581507222077693e-22
sensor_332,0.00558659217877095,0.0,0.00558659217877095,0.08641606319299402,0.31628344460234525,9.890379489319157e-23
sensor_182,0.0007980845969672786,0.0,0.0007980845969672786,0.4295214712568901,0.31498646751185355,1.400879098706545e-22
sensor_440,0.0015961691939345571,0.0,0.0015961691939345571,0.7429584512403932,0.3148131176587392,1.4950150830165388e-22
sensor_169,0.0015961691939345571,0.0,0.0015961691939345571,0.7395914573026048,0.3141028578411156,1.9025610302348584e-22
sensor_076,0.0,0.07643312101910828,0.07643312101910828,0.5652939427346009,0.3133500288961665,5.511065736724472e-21
sensor_455,0.0007980845969672786,0.0,0.0007980845969672786,0.6867710289741913,0.3131804399584868,2.6964026714581403e-22
sensor_050,0.0007980845969672786,0.0,0.0007980845969672786,0.7007700909839341,0.311140391933416,4.865731014475633e-22
sensor_180,0.0007980845969672786,0.0,0.0007980845969672786,0.6312193109988851,0.3102755336684234,6.45112377848562e-22
sensor_201,0.00558659217877095,0.0,0.00558659217877095,0.679033591710828,0.3069337804541411,2.0674552736504813e-21
sensor_183,0.0007980845969672786,0.0,0.0007980845969672786,0.644216028022641,0.3059614171465782,2.7873950835647716e-21
sensor_195,0.0031923383878691143,0.0,0.0031923383878691143,0.09276043129674198,0.30581917763510175,2.8938406539608896e-21
sensor_475,0.004788507581803671,0.0,0.004788507581803671,0.15256958896946862,0.3024021983971724,8.6350998163763e-21
sensor_043,0.0007980845969672786,0.0,0.0007980845969672786,0.31362013369299796,0.302130603772817,9.081016060727226e-21
sensor_196,0.00558659217877095,0.0,0.00558659217877095,0.1365862518597917,0.3021183711443498,9.5291899704251e-21
sensor_060,0.004788507581803671,0.0,0.004788507581803671,0.4239824781940998,0.30087241226076344,1.3906079616731185e-20
sensor_121,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.5057162577127644,0.29963874714104843,2.9810580809927695e-20
sensor_474,0.00558659217877095,0.0,0.00558659217877095,0.46629834619584204,0.29906145525554384,2.4794996399243314e-20
sensor_293,0.9034317637669593,0.945859872611465,0.04242810884450565,0.026391678404708244,0.2970345162858532,0.11462324818270346
sensor_393,0.0,0.0,0.0,0.43060794925602286,0.2957183015539775,6.702191332598883e-20
sensor_467,0.0031923383878691143,0.0,0.0031923383878691143,0.07869394761772026,0.2946459078090498,9.504999454475042e-20
sensor_006,0.00558659217877095,0.022292993630573247,0.016706401451802296,0.009127725374619358,0.293102096088591,3.3731301965136017e-19
sensor_123,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.43612721986377134,0.2902477199297607,5.237459708904964e-19
sensor_452,0.0007980845969672786,0.0,0.0007980845969672786,0.5889504540295936,0.28858794082334505,5.832697686102027e-19
sensor_133,0.0039904229848363925,0.009554140127388535,0.005563717142552142,0.4488465831097555,0.2868538214197378,1.3405078782455464e-18
sensor_215,0.0,0.07643312101910828,0.07643312101910828,0.5428432002615055,0.28677105980130446,1.343177373994497e-17
sensor_280,0.0,0.006369426751592357,0.006369426751592357,0.23873907542070089,0.2856094092127612,1.7361100954056245e-18
sensor_079,0.0,0.07643312101910828,0.07643312101910828,0.4579456829734241,0.28509783416352474,2.137787899985194e-17
sensor_157,0.9034317637669593,0.945859872611465,0.04242810884450565,0.2614260878492958,0.2814778804083617,0.15227658333718547
sensor_203,0.004788507581803671,0.0,0.004788507581803671,0.1448175987676332,0.28091112938568497,5.817105165767237e-18
sensor_516,0.7757382282521947,0.1464968152866242,0.6292414129655706,4.037172597846138,0.2807669835874011,4.846709766373325e-10
sensor_527,0.0,0.0,0.0,0.378161393233404,0.2807071944530579,6.185430898233643e-18
sensor_127,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.08404283454441265,0.280047032492129,9.68524631129514e-18
sensor_305,0.0007980845969672786,0.0,0.0007980845969672786,0.5957981054345135,0.2799139211656255,7.376331962052473e-18
sensor_412,0.00558659217877095,0.022292993630573247,0.016706401451802296,0.44085683436080786,0.279024474409315,2.0629977383095424e-17
sensor_244,0.7757382282521947,0.1464968152866242,0.6292414129655706,3.164648713676632,0.2772082647261911,8.500915395309348e-10
sensor_382,0.7757382282521947,0.1464968152866242,0.6292414129655706,3.201975787258417,0.27692940989005155,8.857227709247724e-10
sensor_346,0.4581005586592179,0.7006369426751592,0.2425363840159413,0.10426657018674372,0.2737442421583681,5.857165942275615e-06
sensor_487,0.0,0.07643312101910828,0.07643312101910828,0.5287269090789952,0.27319261358945435,5.422001217482576e-16
sensor_125,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.21629387759465082,0.27289933138567934,7.438784030465262e-17
sensor_255,0.0,0.0,0.0,0.37502338638241417,0.2727339734954581,6.073848059139653e-17
sensor_170,0.0007980845969672786,0.0,0.0007980845969672786,0.684361468787522,0.2715909322154617,8.306446171692397e-17
sensor_454,0.0007980845969672786,0.0,0.0007980845969672786,0.3262771023278382,0.2711483282798477,9.021415764462665e-17
sensor_112,0.33679169992019153,0.9331210191082803,0.5963293191880887,0.3982750101666784,0.2680075640364449,0.08651217098229338
sensor_122,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.0011904991027144331,0.2678557154534226,3.110650246521343e-16
sensor_004,0.00558659217877095,0.022292993630573247,0.016706401451802296,38.38069783528055,0.26723430286362615,5.396466099036336e-16
sensor_025,0.0015961691939345571,0.0,0.0015961691939345571,0.3906478464628588,0.26706278289470337,2.854394372758668e-16
sensor_126,0.004788507581803671,0.009554140127388535,0.004765632545584863,0.16447140181823316,0.262118473403693,1.5322671240430927e-15
sensor_441,0.0007980845969672786,0.0,0.0007980845969672786,0.6761368796412274,0.26208257870210216,1.1451350078353282e-15
