run_id,timestamp,actual_label_offline_only,phase,model_risk,t2,q_spe,ewma_alert,cusum_alert,mspc_alert,top_contributing_anonymous_variables,review_priority,review_priority_score
0,2008-07-19 11:55:00,0,phase_i,0.0949030594655223,4.36528781706624,0.1939942517424021,False,False,False,sensor_030; sensor_345; sensor_059,routine,0.6949585194639438
1,2008-07-19 12:32:00,0,phase_i,0.0974854737756373,1.464461335226051,0.4032569542828791,False,False,False,sensor_014; sensor_030; sensor_029,medium,0.7070835992342055
2,2008-07-19 13:17:00,1,phase_i,0.6608826349862239,2.978133436265519,1.423779356806638,False,False,False,sensor_059; sensor_345; sensor_014,high,0.971282705807275
3,2008-07-19 14:43:00,0,phase_i,0.0847425253192516,468.32535097490864,0.6902354749063457,True,True,True,sensor_556; sensor_553; sensor_059,routine,0.6426292278238672
4,2008-07-19 15:22:00,0,phase_i,0.1332622567784181,7.519256245498539,1.9293409765749383,True,True,False,sensor_059; sensor_345; sensor_285,medium,0.8353541799617102
5,2008-07-19 17:53:00,0,phase_i,0.1276587537978277,6.453831529833019,3.211009608098564,True,True,False,sensor_059; sensor_345; sensor_029,medium,0.8162093171665603
6,2008-07-19 19:44:00,0,phase_i,0.0860945331214925,2.926906204874405,0.6995733565751953,True,True,False,sensor_030; sensor_029; sensor_553,routine,0.6509253350350989
7,2008-07-19 19:45:00,0,phase_i,0.1726822791559414,13.681341882968969,3.0433018054777548,True,True,False,sensor_014; sensor_059; sensor_345,medium,0.8921506062539886
8,2008-07-19 20:24:00,0,phase_i,0.2496265795281559,10.824637233434249,2.520195188409442,True,True,False,sensor_014; sensor_059; sensor_345,high,0.9368219527760051
9,2008-07-19 21:35:00,0,phase_i,0.1319475507404455,5.387499259923212,1.904143462142302,True,True,False,sensor_059; sensor_345; sensor_150,medium,0.8296107211231653
10,2008-07-19 21:57:00,1,phase_i,0.6951191026494793,30.78537571797299,1.047313570934299,True,True,False,sensor_059; sensor_345; sensor_150,high,0.9859604339502234
11,2008-07-19 22:52:00,1,phase_i,0.7067685705676504,3.802678921275931,2.147727250144309,True,True,False,sensor_059; sensor_345; sensor_014,high,0.9891512444160817
12,2008-07-20 03:35:00,0,phase_i,0.1343195230553853,3.4538796354201184,0.5903877649404063,True,True,False,sensor_059; sensor_345; sensor_014,medium,0.8366305041480536
13,2008-07-21 08:21:00,0,phase_i,0.0590856956372058,2.981514840232587,0.9975547286796176,False,True,False,sensor_014; sensor_030; sensor_029,routine,0.46649649010848754
